1,"果汁100% オレンジ",1,1,"350ml×50本",200,39,0,10,1
2,"果汁100% グレープ",1,1,"350ml×50本",200,17,40,25,0
3,"果汁100% レモン",1,1,"250ml×50本",1000,13,70,25,0
4,"果汁100% ピーチ",2,1,"250ml×20本",1000,53,0,0,0
5,"コーヒーマイルド",2,1,"250ml×20本",1000,0,0,0,1
6,"コーヒービター",3,1,"250ml×40本",1000,120,0,25,1
7,"コーヒーミルク",3,1,"500g",500,15,0,10,0
8,"ピリピリ ビール",3,1,"250ml×20本",100,6,0,0,0
9,"オタル白ラベル",4,7,"500g×50パック",2500,29,0,0,1
10,"バードワイン",4,1,"150g×20袋",210,31,0,0,0
11,"ホワイトソルト",5,2,"250ml×20本",100,22,30,30,0
12,"ブラックペッパー",5,2,"250ml×20本",100,86,0,0,0
13,"ピュアシュガー",6,2,"150g×20袋",1000,24,0,5,0
14,"うまい素",6,2,"500g",2000,35,0,0,0
15,"ピュアデミグラスソース",6,2,"250ml×20本",1000,39,0,5,0
16,"だしかつお",7,2,"50枚×200袋",2400,29,0,10,0
17,"だしこんぶ",7,2,"150g×50パック",500,0,0,0,1
18,"ピリカラタバスコ",7,2,"150g×20袋",450,42,0,0,0
19,"のり山椒",8,7,"50枚×200袋",1540,25,0,5,0
20,"特製和風醤油",8,2,"50枚×200袋",1540,40,0,0,0
21,"バニラクリームアイス",8,3,"50枚×200袋",1540,3,40,5,0
22,"チョコクリームアイス",9,3,"400g×30束",200,104,0,25,0
23,"紅茶バー",9,3,"400g×30束",200,61,0,25,0
24,"じゃがチップス",10,3,"250ml×50本",1000,20,0,0,1
25,"アメリカンクラッカー",11,3,"20枚×20袋",1200,76,0,30,0
26,"バナナキャンディー",11,3,"20枚×20袋",1000,15,0,0,0
27,"メロンミルクキャンディー",11,3,"20枚×20袋",1600,49,0,30,0
28,"小倉あんぱん",12,7,"825g",2300,26,0,0,1
29,"インドカレーパン",12,7,"500g×50パック",3000,0,0,0,1
30,"チーズあんぱん",13,7,"150g×20袋",200,10,0,15,0
31,"ロッキーチーズ",14,4,"250ml×20本",100,0,70,20,0
32,"パルメザンチーズ",14,4,"250ml×20本",50,9,40,25,0
33,"フレッシュバター",15,4,"250ml×20本",100,112,0,20,0
34,"ライフマーガリン",16,7,"250ml×20本",1000,111,0,15,0
35,"ローカロリー牛乳",16,1,"250ml×20本",50,20,0,15,0
36,"牛乳マイルド",17,4,"150g×20袋",100,112,0,20,0
37,"ストロベリーヨーグルト",17,4,"150g×20袋",500,11,50,25,0
38,"ブルーベリーヨーグルト",18,4,"250ml×20本",300,17,0,15,0
39,"ラズベリーヨーグルト",18,4,"250ml×20本",20,69,0,5,0
40,"ココナッツミルク",19,4,"150g×20袋",400,123,0,30,0
41,"モーニングブレッド",19,7,"150g×20袋",40,85,0,10,0
42,"バタートースト",20,5,"400g×30束",200,26,0,0,1
43,"バケットフランス",20,7,"250ml×20本",500,17,10,25,0
44,"極上パスタ",20,5,"250ml×20本",1000,27,0,15,0
45,"極上マカロニ",21,5,"200g×30箱",100,5,70,15,0
46,"伝統スパゲッティ",21,5,"200g×30箱",1500,95,0,0,0
47,"ヘルシークラッカー",22,3,"20枚×20袋",1200,36,0,0,0
48,"コーンフレークプレーン",22,3,"20枚×20袋",20,15,70,25,0
49,"コーンフレークチョコ",23,3,"20枚×20袋",10,10,60,15,0
50,"コーンフレークシュガー",23,3,"20枚×20袋",1540,65,0,30,0
51,"アメリカンポーク",24,7,"200g",5000,20,0,10,0
52,"うす味ウインナー",24,7,"400g×30束",200,38,0,25,0
53,"ベターローストハム",24,6,"50g×5本",3500,0,0,0,1
54,"ベタープレスハム",25,6,"50g×5本",2500,21,0,10,0
55,"ベター生ハム",25,6,"50g×5本",100,115,0,20,0
56,"特製サラミ",26,6,"400g×30束",400,21,10,30,0
57,"和風ハンバーグレトルト",26,6,"400g×30束",700,36,0,20,0
58,"照焼きミートボール",27,7,"150g×20袋",800,62,0,20,0
59,"ミックスハム",28,7,"140g×3個",900,79,0,0,0
60,"ミートバー",28,7,"140g×3個",1000,19,0,0,0
61,"もめんどうふ特上",29,7,"150g×20本",40,113,0,25,0
62,"きぬごしどうふ特上",29,7,"50g×20個",400,17,0,0,0
63,"冷凍ミックスベジタブル",7,7,"150g×20本",500,24,0,5,0
64,"冷凍クリームコロッケ",12,7,"400g×30束",15,22,80,30,0
65,"冷凍コーンクリームコロッケ",2,7,"150g×20本",150,76,0,0,0
66,"冷凍ポテトコロッケ",2,7,"150g×20本",1500,4,100,20,0
67,"冷凍枝豆",16,7,"200g×12缶",550,52,0,10,0
68,"冷凍やきおにぎり",8,7,"50g×20個",460,6,10,15,0
69,"乾燥バナナ",15,7,"120g×10個",650,26,0,15,0
70,"乾燥アップル",7,7,"190g×12缶",148,15,10,30,0
71,"特選味のり",15,7,"120g×10個",850,26,0,0,0
72,"北海道昆布",14,7,"120g×50個",720,14,0,0,0
73,"やきいかするめくん",17,7,"20g×50袋",145,101,0,5,0
74,"食卓わかめ",4,7,"500g",950,4,20,5,0
75,"ふりかけかつお風味",12,7,"190g×12缶",145,125,0,25,0
76,"ふりかけ鮭風味",23,7,"190g×20缶",685,57,0,20,0
77,"大陸サーモン",12,8,"150g×20本",244,32,0,15,0
80,"特選にぼし",16,7,"400g×30束",20,0,0,0,0
81,"本がつお特上",21,6,"50g×5本",144,0,0,0,1
82,"ころもはんぺん",19,7,"20枚×20袋",100,0,0,0,0
84,"コーンフレークチョコ",30,3,"20枚×20袋",500,100,50,50,0
